Protein(s),Protein Description(s),PSMs (PEC1),PSMs (PEC2),PSMs (PEC3),PSMs (PED1 1.5),PSMs (PED2 1.5),PSMs (PED3 1.5),PSMs (PED4 1:2),PSMs (PED5 1:2),PSMs (PED6 1:2),NSAF (PEC1),NSAF (PEC2),NSAF (PEC3),NSAF (PED1 1.5),NSAF (PED2 1.5),NSAF (PED3 1.5),NSAF (PED4 1:2),NSAF (PED5 1:2),NSAF (PED6 1:2)
"gi|220976039|gb|EED94367.1|,gi|223998516|ref|XP_002288931.1|",predicted protein [Thalassiosira pseudonana CCMP1335],16,17,15,7,9,9,10,15,12,0.000122,0.000132,0.000111,6.87e-05,9.19e-05,8.79e-05,7.79e-05,0.000115,9.72e-05
"gi|223993573|ref|XP_002286470.1|,gi|220977785|gb|EED96111.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",18,19,18,3,2,7,17,15,11,0.001,0.001,0.001,0.000232,0.000161,0.00054,0.001,0.000908,0.000704
"gi|223995669|ref|XP_002287508.1|,gi|220976624|gb|EED94951.1|",atp-dependent RNA DEAD/DEAH box helicase [Thalassiosira pseudonana CCMP1335],18,18,19,5,5,7,15,11,12,0.00018,0.000183,0.000184,6.43e-05,6.69e-05,8.96e-05,0.000153,0.000111,0.000127
"gi|224007861|ref|XP_002292890.1|,gi|220971752|gb|EED90086.1|",oxoglutarate/malate translocator [Thalassiosira pseudonana CCMP1335],15,17,16,10,7,8,15,11,11,0.000201,0.000231,0.000208,0.000172,0.000125,0.000137,0.000205,0.000148,0.000156
"gi|220975342|gb|EED93670.1|,gi|223997122|ref|XP_002288234.1|",predicted protein [Thalassiosira pseudonana CCMP1335],12,20,15,7,9,6,13,13,14,0.000287,0.000485,0.000348,0.000215,0.000288,0.000184,0.000317,0.000312,0.000355
"gi|224000193|ref|XP_002289769.1|,gi|220974977|gb|EED93306.1|","RL11A, ribosomal protein 11A 60S large ribosomal subunit [Thalassiosira pseudonana CCMP1335]",16,20,19,3,2,3,17,17,12,0.000376,0.000477,0.000433,9.06e-05,6.29e-05,9.02e-05,0.000408,0.000401,0.000299
"gi|224007283|ref|XP_002292601.1|,gi|220971463|gb|EED89797.1|",predicted protein [Thalassiosira pseudonana CCMP1335],10,11,11,15,9,11,18,11,13,8.89e-05,9.92e-05,9.49e-05,0.000171,0.000107,0.000125,0.000163,9.82e-05,0.000123
"gi|220970552|gb|EED88889.1|,gi|224009844|ref|XP_002293880.1|",predicted protein [Thalassiosira pseudonana CCMP1335],14,9,14,11,3,11,16,14,16,0.000502,0.000327,0.000487,0.000507,0.000144,0.000505,0.000586,0.000504,0.000609
"gi|220973046|gb|EED91377.1|,gi|224003197|ref|XP_002291270.1|",predicted protein [Thalassiosira pseudonana CCMP1335],15,13,16,13,9,12,11,10,9,0.000369,0.000325,0.000382,0.000411,0.000296,0.000378,0.000277,0.000247,0.000235
"gi|220975811|gb|EED94139.1|,gi|223998060|ref|XP_002288703.1|",serine threonine protein phosphatase [Thalassiosira pseudonana CCMP1335],19,13,17,9,6,9,10,14,11,0.000252,0.000175,0.000219,0.000153,0.000106,0.000153,0.000135,0.000186,0.000155
"gi|220969414|gb|EED87755.1|,gi|224012645|ref|XP_002294975.1|",rab-type small G protein [Thalassiosira pseudonana CCMP1335],19,15,15,5,4,6,16,16,11,0.000371,0.000297,0.000284,0.000126,0.000104,0.00015,0.000319,0.000314,0.000228
"gi|220970447|gb|EED88784.1|,gi|224009634|ref|XP_002293775.1|","RS27, ribosomal protein 27 40S small ribosomal subunit [Thalassiosira pseudonana CCMP1335]",12,9,12,11,14,15,9,12,13,0.000609,0.000463,0.000591,0.000717,0.00095,0.000974,0.000466,0.000612,0.0007
"gi|220971384|gb|EED89719.1|,gi|224008598|ref|XP_002293258.1|",predicted protein [Thalassiosira pseudonana CCMP1335],6,5,11,10,10,15,12,19,19,8.47e-05,7.15e-05,0.000151,0.000181,0.000189,0.000271,0.000173,0.000269,0.000284
"gi|223998840|ref|XP_002289093.1|,gi|220976201|gb|EED94529.1|",predicted protein [Thalassiosira pseudonana CCMP1335],14,12,18,7,7,10,11,13,15,0.000129,0.000112,0.000161,8.3e-05,8.64e-05,0.000118,0.000104,0.00012,0.000147
"gi|224002989|ref|XP_002291166.1|,gi|220972942|gb|EED91273.1|",predicted protein [Thalassiosira pseudonana CCMP1335],17,16,17,10,3,10,9,15,10,0.000135,0.000128,0.00013,0.000102,3.17e-05,0.000101,7.27e-05,0.000119,8.39e-05
"gi|224006293|ref|XP_002292107.1|,gi|220972626|gb|EED90958.1|",predicted protein [Thalassiosira pseudonana CCMP1335],11,13,11,14,11,15,12,9,11,0.000244,0.000292,0.000236,0.000398,0.000326,0.000425,0.000271,0.0002,0.000258
"gi|209583569|gb|ACI64255.1|,gi|224011527|ref|XP_002295538.1|","hisD, histidinol dehydrogenase [Thalassiosira pseudonana CCMP1335]",15,10,10,14,18,9,7,13,10,0.000142,9.57e-05,9.16e-05,0.00017,0.000227,0.000109,6.74e-05,0.000123,0.0001
"gi|220973991|gb|EED92321.1|,gi|224001794|ref|XP_002290569.1|","RL37A, ribosomal protein 37A 60S large ribosomal subunit, partial [Thalassiosira pseudonana CCMP1335]",26,18,21,1,0,0,16,12,12,0.001,0.000835,0.000932,5.88e-05,0.0,0.0,0.000747,0.000551,0.000582
"gi|220976414|gb|EED94741.1|,gi|223995229|ref|XP_002287298.1|",predicted protein [Thalassiosira pseudonana CCMP1335],9,10,12,16,14,13,10,10,12,2.51e-05,2.83e-05,3.25e-05,5.74e-05,5.23e-05,4.65e-05,2.85e-05,2.8e-05,3.56e-05
"gi|223997866|ref|XP_002288606.1|,gi|220975714|gb|EED94042.1|","THAPSDRAFT_32704, partial [Thalassiosira pseudonana CCMP1335],Hypothetical protein THAPSDRAFT_32704, partial [Thalassiosira pseudonana CCMP1335]",20,17,20,6,8,7,11,9,8,0.000282,0.000243,0.000274,0.000109,0.000151,0.000126,0.000158,0.000127,0.00012
"gi|223999541|ref|XP_002289443.1|,gi|220974651|gb|EED92980.1|",predicted protein [Thalassiosira pseudonana CCMP1335],17,15,15,9,5,10,9,14,12,0.000334,0.000299,0.000286,0.000227,0.000131,0.000251,0.00018,0.000276,0.00025
"gi|224008801|ref|XP_002293359.1|,gi|220970759|gb|EED89095.1|",predicted protein [Thalassiosira pseudonana CCMP1335],14,11,10,11,9,8,13,15,15,0.000105,8.39e-05,7.3e-05,0.000106,9.06e-05,7.7e-05,9.99e-05,0.000113,0.00012
"gi|224010854|ref|XP_002294384.1|,gi|220969879|gb|EED88218.1|",predicted protein [Thalassiosira pseudonana CCMP1335],7,6,8,14,11,12,14,15,19,4.39e-05,3.81e-05,4.86e-05,0.000113,9.22e-05,9.62e-05,8.96e-05,9.44e-05,0.000126
"gi|223999973|ref|XP_002289659.1|,gi|220974867|gb|EED93196.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",11,12,13,11,12,9,11,17,9,0.000253,0.00028,0.00029,0.000325,0.000369,0.000265,0.000258,0.000393,0.00022
"gi|224007701|ref|XP_002292810.1|,gi|220971672|gb|EED90006.1|",predicted protein [Thalassiosira pseudonana CCMP1335],3,0,1,14,16,19,18,15,19,0.000104,0.0,3.36e-05,0.000624,0.000742,0.000843,0.000637,0.000522,0.000699
