Protein(s),Protein Description(s),PSMs (PEC1),PSMs (PEC2),PSMs (PEC3),PSMs (PED1 1.5),PSMs (PED2 1.5),PSMs (PED3 1.5),PSMs (PED4 1:2),PSMs (PED5 1:2),PSMs (PED6 1:2),NSAF (PEC1),NSAF (PEC2),NSAF (PEC3),NSAF (PED1 1.5),NSAF (PED2 1.5),NSAF (PED3 1.5),NSAF (PED4 1:2),NSAF (PED5 1:2),NSAF (PED6 1:2)
"gi|223999283|ref|XP_002289314.1|,gi|220974522|gb|EED92851.1|","hypothetical protein THAPSDRAFT_262163, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25e-05
"gi|223999307|ref|XP_002289326.1|,gi|220974534|gb|EED92863.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.79e-05,0.0,0.0,0.0
"gi|223999319|ref|XP_002289332.1|,gi|220974540|gb|EED92869.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15e-06,0.0
"gi|223999335|ref|XP_002289340.1|,gi|220974548|gb|EED92877.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8.64e-06,0.0,0.0,0.0
"gi|223999339|ref|XP_002289342.1|,gi|220974550|gb|EED92879.1|","kinesin motor protein-like protein, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.25e-05,0.0,0.0,0.0,0.0
"gi|223999499|ref|XP_002289422.1|,gi|220974630|gb|EED92959.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,1,0,0,0,0,0,0,0.0,0.0,7.63e-06,0.0,0.0,0.0,0.0,0.0,0.0
"gi|223999507|ref|XP_002289426.1|,gi|220974634|gb|EED92963.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,6.63e-06,0.0,0.0,0.0,0.0
"gi|223999515|ref|XP_002289430.1|,gi|220974638|gb|EED92967.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,0,0,0,0,0,0,4.32e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|223999573|ref|XP_002289459.1|,gi|220974667|gb|EED92996.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02e-05,0.0
"gi|223999599|ref|XP_002289472.1|,gi|220974680|gb|EED93009.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",1,0,0,0,0,0,0,0,0,1.76e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|223999627|ref|XP_002289486.1|,gi|220974694|gb|EED93023.1|",mago nashi-like protein [Thalassiosira pseudonana CCMP1335],0,1,0,0,0,0,0,0,0,0.0,2.76e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|223999681|ref|XP_002289513.1|,gi|220974721|gb|EED93050.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3.11e-06,0.0,0.0,0.0
"gi|223999823|ref|XP_002289584.1|,gi|220974792|gb|EED93121.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,0,0,0,0,0,0,4.27e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|223999853|ref|XP_002289599.1|,gi|220974807|gb|EED93136.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,0,0,0,0,0,0,1.21e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|223999907|ref|XP_002289626.1|,gi|220974834|gb|EED93163.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,0,0,0,0,0,0,0,0.0,5.04e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|223999913|ref|XP_002289629.1|,gi|220974837|gb|EED93166.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,0,0,0,0,0,0,0,0.0,3.03e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|223999931|ref|XP_002289638.1|,gi|220974846|gb|EED93175.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,7.15e-06,0.0,0.0,0.0,0.0
"gi|223999959|ref|XP_002289652.1|,gi|220974860|gb|EED93189.1|","Na+/H+ exchanger [Thalassiosira pseudonana CCMP1335],Na+/H+ exchanger, partial [Thalassiosira pseudonana CCMP1335]",0,1,0,0,0,0,0,0,0,0.0,5.96e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|223999961|ref|XP_002289653.1|,gi|220974861|gb|EED93190.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,0,0,0,0,0,0,0,0.0,9.28e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224000031|ref|XP_002289688.1|,gi|220974896|gb|EED93225.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61e-05
"gi|224000049|ref|XP_002289697.1|,gi|220974905|gb|EED93234.1|","PIP2 phosphodiesterase [Thalassiosira pseudonana CCMP1335],PIP2 phosphodiesterase, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,2.11e-05,0.0,0.0,0.0,0.0,0.0
"gi|224000093|ref|XP_002289719.1|,gi|220974927|gb|EED93256.1|","hypothetical protein THAPSDRAFT_33389, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.88e-06
"gi|224000105|ref|XP_002289725.1|,gi|220974933|gb|EED93262.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15e-05,0.0
"gi|224000187|ref|XP_002289766.1|,gi|220974974|gb|EED93303.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,0,0,0,0,0,0,0,0.0,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224000217|ref|XP_002289781.1|,gi|220974989|gb|EED93318.1|","probable amp deaminase, partial [Thalassiosira pseudonana CCMP1335]",0,1,0,0,0,0,0,0,0,0.0,7.96e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224000241|ref|XP_002289793.1|,gi|220975001|gb|EED93330.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,7.48e-06,0.0,0.0,0.0
"gi|224000289|ref|XP_002289817.1|,gi|220975025|gb|EED93354.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.63e-06,0.0,0.0
"gi|224000291|ref|XP_002289818.1|,gi|220975026|gb|EED93355.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,0,0,0,0,0,0,0,0.0,8.36e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224000331|ref|XP_002289838.1|,gi|220975046|gb|EED93375.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24e-05,0.0
"gi|224000347|ref|XP_002289846.1|,gi|220975054|gb|EED93383.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.61e-05,0.0,0.0,0.0
"gi|224000365|ref|XP_002289855.1|,gi|220975063|gb|EED93392.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,5.26e-06,0.0,0.0,0.0
"gi|224000447|ref|XP_002289896.1|,gi|220975104|gb|EED93433.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,2.89e-05,0.0,0.0,0.0,0.0,0.0
"gi|224000509|ref|XP_002289927.1|,gi|220975135|gb|EED93464.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,0,0,0,0,0,0,0,0.0,4.54e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224000527|ref|XP_002289936.1|,gi|220975144|gb|EED93473.1|","4-coumarate-coa ligase, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.14e-05,0.0,0.0,0.0
"gi|224000547|ref|XP_002289946.1|,gi|220975154|gb|EED93483.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05e-05
"gi|224000553|ref|XP_002289949.1|,gi|220975157|gb|EED93486.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",0,0,1,0,0,0,0,0,0,0.0,0.0,4.78e-06,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224000635|ref|XP_002289990.1|,gi|220975198|gb|EED93527.1|","rRNA methyltransferase, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.76e-05,0.0,0.0,0.0
"gi|224000699|ref|XP_002290022.1|,gi|220975230|gb|EED93559.1|","hypothetical protein THAPSDRAFT_262352, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4.61e-06,0.0,0.0,0.0
"gi|224000780|ref|XP_002290062.1|,gi|220973484|gb|EED91814.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.67e-06,0.0,0.0
"gi|224000834|ref|XP_002290089.1|,gi|220973511|gb|EED91841.1|","protease of the insulinase family, partial [Thalassiosira pseudonana CCMP1335]",1,0,0,0,0,0,0,0,0,4.57e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224000850|ref|XP_002290097.1|,gi|220973519|gb|EED91849.1|",ubiquinone/menaquinone biosynthesis methyltransferase-like protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27e-05
"gi|224000858|ref|XP_002290101.1|,gi|220973523|gb|EED91853.1|","atp-dependent RNA helicase, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24e-06,0.0
"gi|224000938|ref|XP_002290141.1|,gi|220973563|gb|EED91893.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.3e-05,0.0,0.0,0.0,0.0
"gi|224001022|ref|XP_002290183.1|,gi|220973605|gb|EED91935.1|",nucleotide excision repair protein ERCC2 [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73e-06
"gi|224001068|ref|XP_002290206.1|,gi|220973628|gb|EED91958.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.65e-05,0.0,0.0
"gi|224001092|ref|XP_002290218.1|,gi|220973640|gb|EED91970.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.64e-06,0.0,0.0
"gi|224001096|ref|XP_002290220.1|,gi|220973642|gb|EED91972.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",1,0,0,0,0,0,0,0,0,1.73e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224001102|ref|XP_002290223.1|,gi|220973645|gb|EED91975.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,2.31e-05,0.0,0.0,0.0,0.0
"gi|224001108|ref|XP_002290226.1|,gi|220973648|gb|EED91978.1|",dimethyladenosine transferase [Thalassiosira pseudonana CCMP1335],1,0,0,0,0,0,0,0,0,1.24e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224001126|ref|XP_002290235.1|,gi|220973657|gb|EED91987.1|",hypothetical protein THAPSDRAFT_268889 [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84e-06,0.0
"gi|224001182|ref|XP_002290263.1|,gi|220973685|gb|EED92015.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,0,0,0,0,0,0,1.46e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224001202|ref|XP_002290273.1|,gi|220973695|gb|EED92025.1|","member of mcm2/3/5 protein family, partial [Thalassiosira pseudonana CCMP1335]",0,1,0,0,0,0,0,0,0,0.0,6.91e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224001320|ref|XP_002290332.1|,gi|220973754|gb|EED92084.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73e-05,0.0
"gi|224011539|ref|XP_002295544.1|,gi|209583575|gb|ACI64261.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-05,0.0
"gi|224001340|ref|XP_002290342.1|,gi|220973764|gb|EED92094.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.14e-05,0.0,0.0,0.0,0.0
"gi|224001346|ref|XP_002290345.1|,gi|220973767|gb|EED92097.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,3.94e-06,0.0,0.0,0.0,0.0
"gi|224001360|ref|XP_002290352.1|,gi|220973774|gb|EED92104.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",1,0,0,0,0,0,0,0,0,1.61e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224001380|ref|XP_002290362.1|,gi|220973784|gb|EED92114.1|","hypothetical protein THAPSDRAFT_262599, partial [Thalassiosira pseudonana CCMP1335]",0,1,0,0,0,0,0,0,0,0.0,1.56e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224001414|ref|XP_002290379.1|,gi|220973801|gb|EED92131.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,5.08e-06,0.0,0.0,0.0,0.0
"gi|224001472|ref|XP_002290408.1|,gi|220973830|gb|EED92160.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79e-06,0.0
"gi|224001528|ref|XP_002290436.1|,gi|220973858|gb|EED92188.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81e-06,0.0
"gi|224001602|ref|XP_002290473.1|,gi|220973895|gb|EED92225.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7e-06
"gi|224001610|ref|XP_002290477.1|,gi|220973899|gb|EED92229.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,0,0,0,0,0,0,0,0.0,1.14e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224001620|ref|XP_002290482.1|,gi|220973904|gb|EED92234.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57e-06
"gi|224001626|ref|XP_002290485.1|,gi|220973907|gb|EED92237.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.41e-05,0.0,0.0,0.0
"gi|224001634|ref|XP_002290489.1|,gi|220973911|gb|EED92241.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,6.6e-06,0.0,0.0,0.0,0.0,0.0
"gi|224001664|ref|XP_002290504.1|,gi|220973926|gb|EED92256.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.5e-06,0.0,0.0
"gi|224001926|ref|XP_002290635.1|,gi|220974057|gb|EED92387.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,3.19e-06,0.0,0.0,0.0,0.0,0.0
"gi|224001928|ref|XP_002290636.1|,gi|220974058|gb|EED92388.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.13e-05,0.0,0.0,0.0,0.0,0.0
"gi|224001934|ref|XP_002290639.1|,gi|220974061|gb|EED92391.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.11e-05,0.0,0.0
"gi|224001942|ref|XP_002290643.1|,gi|220974065|gb|EED92395.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",0,0,1,0,0,0,0,0,0,0.0,0.0,2.16e-05,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224001950|ref|XP_002290647.1|,gi|220974069|gb|EED92399.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,0,0,0,0,0,0,5.32e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224001976|ref|XP_002290660.1|,gi|220974082|gb|EED92412.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82e-05
"gi|224001984|ref|XP_002290664.1|,gi|220974086|gb|EED92416.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,8.18e-06,0.0,0.0,0.0,0.0
"gi|224002008|ref|XP_002290676.1|,gi|220974098|gb|EED92428.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,1,0,0,0,0,0,0,0.0,0.0,1.91e-06,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224002026|ref|XP_002290685.1|,gi|220974107|gb|EED92437.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,0,0,0,0,0,0,7.06e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224002036|ref|XP_002290690.1|,gi|220974112|gb|EED92442.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,7.76e-06,0.0,0.0,0.0
"gi|224002086|ref|XP_002290715.1|,gi|220974137|gb|EED92467.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,0,0,0,0,0,0,7.58e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224002090|ref|XP_002290717.1|,gi|220974139|gb|EED92469.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.74e-06,0.0,0.0,0.0,0.0,0.0
"gi|224002146|ref|XP_002290745.1|,gi|220974167|gb|EED92497.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.75e-05,0.0,0.0,0.0
"gi|224002150|ref|XP_002290747.1|,gi|220974169|gb|EED92499.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.03e-06,0.0,0.0
"gi|224002194|ref|XP_002290769.1|,gi|220974191|gb|EED92521.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,2.86e-06,0.0,0.0,0.0,0.0
"gi|224002218|ref|XP_002290781.1|,gi|220974203|gb|EED92533.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.31e-05,0.0,0.0,0.0,0.0,0.0
"gi|224002260|ref|XP_002290802.1|,gi|220974224|gb|EED92554.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.44e-05,0.0,0.0,0.0,0.0,0.0
"gi|224002294|ref|XP_002290819.1|,gi|220974241|gb|EED92571.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43e-05,0.0
"gi|224002376|ref|XP_002290860.1|,gi|220974282|gb|EED92612.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88e-06,0.0
"gi|224002388|ref|XP_002290866.1|,gi|220974288|gb|EED92618.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,6.39e-06,0.0,0.0,0.0,0.0,0.0
"gi|224002450|ref|XP_002290897.1|,gi|220974319|gb|EED92649.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.64e-06,0.0,0.0
"gi|224002665|ref|XP_002291004.1|,gi|220972780|gb|EED91111.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.02e-06,0.0,0.0
"gi|224002701|ref|XP_002291022.1|,gi|220972798|gb|EED91129.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9e-06,0.0
"gi|224002719|ref|XP_002291031.1|,gi|220972807|gb|EED91138.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,1,0,0,0,0,0,0,0,0.0,9.02e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224002725|ref|XP_002291034.1|,gi|220972810|gb|EED91141.1|",histone deacetylase [Thalassiosira pseudonana CCMP1335],0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,6.52e-06,0.0,0.0,0.0,0.0
"gi|224002775|ref|XP_002291059.1|,gi|220972835|gb|EED91166.1|",hypothetical protein THAPSDRAFT_23101 [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5e-06,0.0
"gi|224002785|ref|XP_002291064.1|,gi|220972840|gb|EED91171.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",0,0,1,0,0,0,0,0,0,0.0,0.0,9.71e-06,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224002799|ref|XP_002291071.1|,gi|220972847|gb|EED91178.1|","hypothetical protein THAPSDRAFT_262855, partial [Thalassiosira pseudonana CCMP1335]",0,1,0,0,0,0,0,0,0,0.0,8.19e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224002809|ref|XP_002291076.1|,gi|220972852|gb|EED91183.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32e-06,0.0
"gi|224002873|ref|XP_002291108.1|,gi|220972884|gb|EED91215.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.24e-05,0.0,0.0,0.0,0.0,0.0
"gi|224002883|ref|XP_002291113.1|,gi|220972889|gb|EED91220.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.61e-05,0.0,0.0
"gi|224002887|ref|XP_002291115.1|,gi|220972891|gb|EED91222.1|","hypothetical protein THAPSDRAFT_262907, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2.6e-05,0.0,0.0,0.0
"gi|224002987|ref|XP_002291165.1|,gi|220972941|gb|EED91272.1|",19kDa subunit of RNA polymerase [Thalassiosira pseudonana CCMP1335],0,0,1,0,0,0,0,0,0,0.0,0.0,2.21e-05,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224003037|ref|XP_002291190.1|,gi|220972966|gb|EED91297.1|",hypothetical protein THAPSDRAFT_269163 [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.12e-06,0.0
"gi|224003199|ref|XP_002291271.1|,gi|220973047|gb|EED91378.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.04e-05,0.0,0.0,0.0,0.0
"gi|224003243|ref|XP_002291293.1|,gi|220973069|gb|EED91400.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,1,0,0,0,0,0,0,0.0,0.0,8.46e-06,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224003247|ref|XP_002291295.1|,gi|220973071|gb|EED91402.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,1,0,0,0,0,0,0,0.0,0.0,5.24e-06,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224003273|ref|XP_002291308.1|,gi|220973084|gb|EED91415.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,6.41e-06,0.0,0.0,0.0
"gi|224003309|ref|XP_002291326.1|,gi|220973102|gb|EED91433.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,7.3e-06,0.0,0.0,0.0,0.0
"gi|224003423|ref|XP_002291383.1|,gi|220973159|gb|EED91490.1|","hypothetical protein THAPSDRAFT_17242, partial [Thalassiosira pseudonana CCMP1335]",0,0,1,0,0,0,0,0,0,0.0,0.0,1.59e-05,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224003567|ref|XP_002291455.1|,gi|220973231|gb|EED91562.1|",predicted protein [Thalassiosira pseudonana CCMP1335],0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,9.94e-06,0.0,0.0,0.0,0.0
"gi|224003623|ref|XP_002291483.1|,gi|220973259|gb|EED91590.1|",predicted protein [Thalassiosira pseudonana CCMP1335],1,0,0,0,0,0,0,0,0,8.99e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gi|224003647|ref|XP_002291495.1|,gi|220973271|gb|EED91602.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,2.08e-05,0.0,0.0,0.0,0.0,0.0
